name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
11 Comae Berenices b,305,19.4 Jupiters,4.74,2007
11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009,11 com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,0,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,12.100,,,0,1.080,,,0,6165.60000,476.70000,-476.70000,0,19.40000,1.50000,-1.50000,0,Msini,0.231000,0.005000,-0.005000,0,,,,,,,,,0,G8 III,4742.00,100.00,-100.00,0,19.00,2.00,-2.00,0,2.70,0.30,-0.30,0,-0.350,0.090,-0.090,0,[Fe/H],2.31,0.10,-0.10,0,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000,1.9238000,-1.9238000,4.7230700,0.0230000,-0.0230000,2.2820000,0.3460000,-0.3460000,4.4403800,0.0038479,-0.0038479
14 Andromedae b,247,4.8 Jupiters,5.227,2008
14 Herculis b,59,4.66 Jupiters,6.61,2002,11 umi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,12.300,,,0,1.090,,,0,4684.81420,794.57500,-794.57500,0,14.74000,2.50000,-2.50000,0,Msini,0.080000,0.030000,-0.030000,0,,,,,,,,,0,K4 III,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,-0.020,,,0,[Fe/H],1.93,0.07,-0.07,0,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000,1.9765000,-1.9765000,5.0130000,0.0050000,-0.0050000,1.9390000,0.2700000,-0.2700000,4.5621600,0.0039035,-0.0039035
16 Cygni B b,69,1.78 Jupiters,6.25,1996
18 Delphini b,249,10.3 Jupiters,5.506,2008,14 and b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,12.900,,,0,1.150,,,0,1525.50000,,,0,4.80000,,,0,Msini,0.000000,,,0,,,,,,,,,0,K0 III,4813.00,20.00,-20.00,0,11.00,1.00,-1.00,0,2.20,0.10,-0.20,0,-0.240,0.030,-0.030,0,[Fe/H],2.63,0.07,-0.07,0,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000,0.7140000,-0.7140000,5.2313300,0.0230000,-0.0230000,2.3310000,0.2400000,-0.2400000,4.9178100,0.0028262,-0.0028262
1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008
24 Bootis b,314,0.91 Jupiters,5.58,2018,14 her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1773.40002000,2.50000000,-2.50000000,0,2.930000,0.080000,-0.080000,0,12.900,,,0,1.150,,,0,1481.08780,47.67450,-47.67450,0,4.66000,0.15000,-0.15000,0,Msini,0.370000,0.000000,0.000000,0,,,,,,,,,0,K0 V,5338.00,25.00,-25.00,0,0.93,0.01,-0.01,0,0.90,0.04,-0.04,0,0.410,,,0,[Fe/H],4.45,0.02,-0.02,0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000,0.0073000,-0.0073000,6.6193500,0.0230000,-0.0230000,4.7140000,0.0160000,-0.0160000,6.3830000,0.0003512,-0.0003512
24 Sextantis b,236,1.99 Jupiters,6.441,2010
24 Sextantis c,236,0.86 Jupiters,6.441,2010,16 cyg b b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,0,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,13.500,,,0,1.200,,,0,565.73740,25.42640,-25.42640,0,1.78000,0.08000,-0.08000,0,Msini,0.680000,0.020000,-0.020000,0,,,,,,,,,0,G3 V,5750.00,8.00,-8.00,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,0.060,,,0,[Fe/H],4.36,0.01,-0.01,0,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000,0.0110000,-0.0111000,6.2150000,0.0160000,-0.0160000,4.6510000,0.0160000,-0.0160000,6.0642800,0.0006029,-0.0006029
2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013
2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013,18 del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,12.500,,,0,1.110,,,0,3273.50000,,,0,10.30000,,,0,Msini,0.080000,0.010000,-0.010000,0,,,,,,,,,0,G6 III,4979.00,18.00,-18.00,0,8.50,,,0,2.30,,,0,-0.052,0.023,-0.023,0,[Fe/H],2.82,0.06,-0.06,0,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.2220000,0.6217000,-0.6217000,5.5104800,0.0230000,-0.0230000,3.3660000,0.2040000,-0.2040000,5.2747600,0.0026539,-0.0026539
2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015
2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010,1rxs j160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,0,,,,,330.000000,,,0,18.647,,,0,1.664,,,0,3000.00000,300.00000,-300.00000,0,8.00000,1.00000,-1.00000,0,Mass,,,,,,,,,1700,100,-100,0,0,K7 V,4060.00,300.00,-200.00,0,1.31,0.18,-0.10,0,0.85,0.20,-0.10,0,,,,,,4.00,0.14,-0.10,0,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000,1.3320000,-1.3070000,12.6180000,0.0690000,-0.0690000,8.9160000,0.0210000,-0.0210000,12.0572000,0.0022750,-0.0022750
2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004
